470,1.5033,3.56E+18,138.5
471,1.5287,3.62E+18,140.02
472,1.6079,3.82E+18,141.59
473,1.5454,3.68E+18,143.16
474,1.5626,3.73E+18,144.72
475,1.6138,3.86E+18,146.31
476,1.5586,3.74E+18,147.89
477,1.5678,3.77E+18,149.46
478,1.6183,3.89E+18,151.05
479,1.587,3.83E+18,152.65
480,1.6134,3.90E+18,154.25
481,1.613,3.91E+18,155.87
482,1.6189,3.93E+18,157.48
483,1.5991,3.89E+18,159.09
484,1.5688,3.82E+18,160.67
485,1.5638,3.82E+18,162.24
486,1.2679,3.10E+18,163.66
487,1.42,3.48E+18,165
488,1.5368,3.78E+18,166.48
489,1.4477,3.56E+18,167.97
490,1.6177,3.99E+18,169.5
491,1.555,3.84E+18,171.09
492,1.4826,3.67E+18,172.61
493,1.5857,3.94E+18,174.14
494,1.548,3.85E+18,175.71
495,1.6437,4.10E+18,177.31
496,1.5631,3.90E+18,178.91
497,1.5898,3.98E+18,180.49
498,1.5464,3.88E+18,182.05
499,1.5462,3.88E+18,183.6
500,1.5406,3.88E+18,185.14
501,1.4935,3.77E+18,186.66
502,1.4923,3.77E+18,188.15
503,1.5608,3.95E+18,189.68
504,1.4545,3.69E+18,191.19
505,1.559,3.96E+18,192.69
506,1.6217,4.13E+18,194.28
507,1.5515,3.96E+18,195.87
508,1.5121,3.87E+18,197.4
509,1.5847,4.06E+18,198.95
510,1.5436,3.96E+18,200.52
511,1.5723,4.05E+18,202.07
512,1.6139,4.16E+18,203.67
513,1.5162,3.92E+18,205.23
514,1.4842,3.84E+18,206.73
515,1.527,3.96E+18,208.24
516,1.541,4.00E+18,209.77
517,1.2557,3.27E+18,211.17
518,1.4361,3.75E+18,212.52
519,1.3917,3.64E+18,213.93
520,1.5192,3.98E+18,215.38
521,1.5301,4.01E+18,216.91
522,1.5644,4.11E+18,218.46
523,1.4746,3.88E+18,219.98
524,1.5859,4.18E+18,221.51
525,1.5735,4.16E+18,223.09
526,1.5297,4.05E+18,224.64
527,1.3378,3.55E+18,226.07
528,1.5312,4.07E+18,227.51
529,1.6024,4.27E+18,229.07
530,1.5401,4.11E+18,230.64
531,1.6245,4.34E+18,232.23
532,1.5952,4.27E+18,233.84
533,1.4245,3.82E+18,235.35
534,1.5258,4.10E+18,236.82
535,1.549,4.17E+18,238.36
536,1.6152,4.36E+18,239.94
537,1.4946,4.04E+18,241.5
538,1.5692,4.25E+18,243.03
539,1.5307,4.15E+18,244.58
540,1.4782,4.02E+18,246.08
541,1.421,3.87E+18,247.53
542,1.5466,4.22E+18,249.02
543,1.5212,4.16E+18,250.55
544,1.5746,4.31E+18,252.1
545,1.539,4.22E+18,253.65
546,1.5247,4.19E+18,255.19
547,1.5445,4.25E+18,256.72
548,1.5005,4.14E+18,258.24
549,1.5475,4.28E+18,259.77
550,1.5354,4.25E+18,261.31
551,1.5337,4.25E+18,262.84
552,1.5651,4.35E+18,264.39
553,1.5206,4.23E+18,265.94
554,1.5504,4.32E+18,267.47
555,1.5589,4.36E+18,269.03
556,1.5321,4.29E+18,270.57
557,1.4945,4.19E+18,272.08
558,1.5266,4.29E+18,273.59
559,1.4441,4.06E+18,275.08
560,1.4697,4.14E+18,276.54
561,1.555,4.39E+18,278.05
562,1.4804,4.19E+18,279.57
563,1.5363,4.35E+18,281.08
564,1.5062,4.28E+18,282.6
565,1.5157,4.31E+18,284.11
566,1.4332,4.08E+18,285.58
567,1.5276,4.36E+18,287.06
568,1.5136,4.33E+18,288.58
569,1.4764,4.23E+18,290.08
570,1.4773,4.24E+18,291.55
571,1.4289,4.11E+18,293.01
572,1.509,4.35E+18,294.48
573,1.5154,4.37E+18,295.99
574,1.5075,4.36E+18,297.5
575,1.4734,4.27E+18,298.99
576,1.4612,4.24E+18,300.46
577,1.4979,4.35E+18,301.94
578,1.4518,4.22E+18,303.41
579,1.4727,4.29E+18,304.87
580,1.4976,4.37E+18,306.36
581,1.5045,4.40E+18,307.86
